,X,y,data_index
423,[123. 108. 226.  39.  41.  32.],119.0,[ 11 948]
424,[119. 123. 227.  37.  39.  41.],112.0,[ 11 949]
425,[112. 119. 250.  39.  37.  39.],118.0,[ 11 950]
426,[118. 112. 246.  23.  39.  37.],140.0,[ 11 951]
427,[140. 118. 286.  51.  23.  39.],130.0,[ 11 952]
428,[133. 115. 272.  66.  21.  86.],118.0,[ 11 956]
429,[118. 133. 243.   8.  66.  21.],117.0,[ 11 957]
430,[117. 118. 256.  56.   8.  66.],111.0,[ 11 958]
431,[126. 105. 245.  59.  44.  82.],127.0,[ 11 962]
432,[127. 126. 268.  54.  59.  44.],143.0,[ 11 963]
433,[143. 127. 303.  40.  54.  59.],142.0,[ 11 964]
434,[142. 143. 318.  27.  40.  54.],144.0,[ 11 965]
435,[144. 142. 324.  77.  27.  40.],162.0,[ 11 966]
436,[162. 144. 343.  14.  77.  27.],143.0,[ 11 967]
437,[ 31.  18. 100.  21.   6.   9.],39.0,[ 12 923]
438,[39. 31. 79.  5. 21.  6.],34.0,[ 12 924]
439,[34. 39. 74. 13.  5. 21.],30.0,[ 12 925]
440,[30. 34. 61. 15. 13.  5.],24.0,[ 12 926]
441,[24. 30. 51.  5. 15. 13.],15.0,[ 12 927]
442,[15. 24. 49. 17.  5. 15.],22.0,[ 12 928]
443,[22. 15. 53.  1. 17.  5.],16.0,[ 12 929]
444,[16. 22. 33.  3.  1. 17.],22.0,[ 12 930]
445,[22. 16. 30.  4.  3.  1.],8.0,[ 12 931]
446,[ 8. 22. 63.  2.  4.  3.],10.0,[ 12 932]
447,[10.  8. 63.  4.  2.  4.],10.0,[ 12 933]
448,[10. 10. 20.  4.  4.  2.],22.0,[ 12 934]
449,[22. 10. 22.  8.  4.  4.],11.0,[ 12 935]
450,[11. 22. 25.  3.  8.  4.],10.0,[ 12 936]
451,[10. 11. 20.  7.  3.  8.],7.0,[ 12 937]
452,[14. 12. 25.  7.  3.  9.],16.0,[ 12 941]
453,[16. 14. 38.  2.  7.  3.],23.0,[ 12 942]
454,[23. 16. 31.  6.  2.  7.],29.0,[ 12 943]
455,[29. 23. 61.  9.  6.  2.],13.0,[ 12 944]
456,[13. 29. 46. 10.  9.  6.],23.0,[ 12 945]
457,[23. 13. 54.  2. 10.  9.],13.0,[ 12 946]
458,[13. 23. 32. 12.  2. 10.],16.0,[ 12 947]
459,[16. 13. 27.  2. 12.  2.],14.0,[ 12 948]
460,[14. 16. 28.  4.  2. 12.],16.0,[ 12 949]
461,[16. 14. 28.  1.  4.  2.],16.0,[ 12 950]
462,[16. 16. 35.  3.  1.  4.],17.0,[ 12 951]
463,[17. 16. 36.  4.  3.  1.],22.0,[ 12 952]
464,[17. 18. 46.  7.  6.  8.],20.0,[ 12 956]
465,[20. 17. 38.  2.  7.  6.],22.0,[ 12 957]
466,[22. 20. 42.  2.  2.  7.],24.0,[ 12 958]
467,[28. 18. 70. 19. 10. 11.],27.0,[ 12 962]
468,[27. 28. 67. 15. 19. 10.],32.0,[ 12 963]
469,[32. 27. 74. 10. 15. 19.],35.0,[ 12 964]
470,[35. 32. 57. 12. 10. 15.],33.0,[ 12 965]
471,[33. 35. 63. 23. 12. 10.],42.0,[ 12 966]
472,[42. 33. 59.  1. 23. 12.],27.0,[ 12 967]
473,[ 62.  44. 158.  36.   8.  30.],75.0,[ 13 923]
474,[ 75.  62. 194.   8.  36.   8.],93.0,[ 13 924]
475,[ 93.  75. 212.  39.   8.  36.],95.0,[ 13 925]
476,[ 95.  93. 213.  46.  39.   8.],101.0,[ 13 926]
477,[101.  95. 216.  13.  46.  39.],115.0,[ 13 927]
478,[115. 101. 253.  67.  13.  46.],133.0,[ 13 928]
479,[133. 115. 254.  10.  67.  13.],113.0,[ 13 929]
480,[113. 133. 247.  42.  10.  67.],98.0,[ 13 930]
481,[ 98. 113. 243.  46.  42.  10.],117.0,[ 13 931]
482,[117.  98. 226.  16.  46.  42.],89.0,[ 13 932]
483,[ 89. 117. 210.  35.  16.  46.],91.0,[ 13 933]
484,[ 91.  89. 186.  30.  35.  16.],86.0,[ 13 934]
485,[ 86.  91. 167.  24.  30.  35.],87.0,[ 13 935]
486,[ 87.  86. 161.  27.  24.  30.],79.0,[ 13 936]
487,[ 79.  87. 168.  28.  27.  24.],87.0,[ 13 937]
488,[ 87.  79. 156.   6.  28.  27.],83.0,[ 13 938]
489,[ 83.  87. 200.  39.   6.  28.],84.0,[ 13 939]
490,[ 84.  83. 195.   8.  39.   6.],74.0,[ 13 940]
491,[ 74.  84. 199.  38.   8.  39.],88.0,[ 13 941]
492,[ 88.  74. 160.  19.  38.   8.],81.0,[ 13 942]
493,[ 81.  88. 163.  32.  19.  38.],107.0,[ 13 943]
494,[107.  81. 178.  22.  32.  19.],95.0,[ 13 944]
495,[ 95. 107. 163.  32.  22.  32.],84.0,[ 13 945]
496,[ 84.  95. 191.  30.  32.  22.],67.0,[ 13 946]
497,[ 67.  84. 203.  28.  30.  32.],62.0,[ 13 947]
498,[ 62.  67. 204.  28.  28.  30.],96.0,[ 13 948]
499,[ 96.  62. 216.  31.  28.  28.],94.0,[ 13 949]
500,[ 94.  96. 206.  27.  31.  28.],91.0,[ 13 950]
501,[ 91.  94. 197.  16.  27.  31.],88.0,[ 13 951]
502,[ 88.  91. 187.  44.  16.  27.],94.0,[ 13 952]
503,[ 83.  87. 197.  42.  10.  46.],76.0,[ 13 956]
504,[ 76.  83. 183.   5.  42.  10.],78.0,[ 13 957]
505,[ 78.  76. 179.  33.   5.  42.],85.0,[ 13 958]
506,[ 98.  87. 207.  57.  24.  63.],94.0,[ 13 962]
507,[ 94.  98. 239.  36.  57.  24.],99.0,[ 13 963]
508,[ 99.  94. 275.  29.  36.  57.],129.0,[ 13 964]
509,[129.  99. 330.  21.  29.  36.],147.0,[ 13 965]
510,[147. 129. 330.  62.  21.  29.],163.0,[ 13 966]
511,[163. 147. 359.  13.  62.  21.],124.0,[ 13 967]
512,[134.  68. 341.  86.  18.  71.],163.0,[ 14 923]
513,[163. 134. 365.  23.  86.  18.],194.0,[ 14 924]
514,[194. 163. 362.  83.  23.  86.],169.0,[ 14 925]
515,[169. 194. 400.  75.  83.  23.],207.0,[ 14 926]
516,[207. 169. 445.  27.  75.  83.],217.0,[ 14 927]
517,[217. 207. 426.  93.  27.  75.],208.0,[ 14 928]
518,[208. 217. 418.  18.  93.  27.],222.0,[ 14 929]
519,[222. 208. 407.  81.  18.  93.],192.0,[ 14 930]
520,[192. 222. 410.  88.  81.  18.],199.0,[ 14 931]
521,[199. 192. 415.  44.  88.  81.],193.0,[ 14 932]
522,[193. 199. 371.  69.  44.  88.],196.0,[ 14 933]
523,[196. 193. 404.  57.  69.  44.],184.0,[ 14 934]
524,[184. 196. 378.  63.  57.  69.],183.0,[ 14 935]
525,[183. 184. 365.  61.  63.  57.],229.0,[ 14 936]
526,[229. 183. 385.  87.  61.  63.],207.0,[ 14 937]
527,[207. 229. 422.  15.  87.  61.],196.0,[ 14 938]
528,[196. 207. 451.  82.  15.  87.],244.0,[ 14 939]
529,[244. 196. 485.  29.  82.  15.],220.0,[ 14 940]
530,[220. 244. 466. 104.  29.  82.],258.0,[ 14 941]
531,[258. 220. 448.  49. 104.  29.],223.0,[ 14 942]
532,[223. 258. 448.  67.  49. 104.],233.0,[ 14 943]
533,[233. 223. 446.  70.  67.  49.],249.0,[ 14 944]
534,[249. 233. 434.  68.  70.  67.],224.0,[ 14 945]
535,[224. 249. 447.  45.  68.  70.],232.0,[ 14 946]
536,[232. 224. 459.  68.  45.  68.],243.0,[ 14 947]
537,[243. 232. 455.  50.  68.  45.],253.0,[ 14 948]
538,[253. 243. 497.  75.  50.  68.],237.0,[ 14 949]
539,[237. 253. 481.  61.  75.  50.],248.0,[ 14 950]
540,[248. 237. 503.  35.  61.  75.],261.0,[ 14 951]
541,[261. 248. 470. 105.  35.  61.],223.0,[ 14 952]
542,[180. 202. 380.  73.  34. 102.],160.0,[ 14 956]
543,[160. 180. 337.  12.  73.  34.],189.0,[ 14 957]
544,[189. 160. 348.  57.  12.  73.],163.0,[ 14 958]
545,[203. 167. 418.  58.  44.  77.],202.0,[ 14 962]
546,[202. 203. 454.  60.  58.  44.],266.0,[ 14 963]
547,[266. 202. 453.  32.  60.  58.],285.0,[ 14 964]
548,[285. 266. 518.  24.  32.  60.],274.0,[ 14 965]
549,[274. 285. 502.  67.  24.  32.],279.0,[ 14 966]
550,[279. 274. 439.  16.  67.  24.],250.0,[ 14 967]
551,[145.  73. 308.  66.  33.  50.],173.0,[ 15 923]
552,[173. 145. 320.  10.  66.  33.],159.0,[ 15 924]
553,[159. 173. 309.  53.  10.  66.],154.0,[ 15 925]
554,[154. 159. 295.  55.  53.  10.],153.0,[ 15 926]
555,[153. 154. 295.  25.  55.  53.],160.0,[ 15 927]
556,[160. 153. 229.  49.  25.  55.],144.0,[ 15 928]
557,[144. 160. 266.  13.  49.  25.],128.0,[ 15 929]
558,[128. 144. 260.  30.  13.  49.],139.0,[ 15 930]
559,[139. 128. 239.  52.  30.  13.],148.0,[ 15 931]
560,[148. 139. 250.  24.  52.  30.],113.0,[ 15 932]
561,[113. 148. 232.  39.  24.  52.],108.0,[ 15 933]
562,[108. 113. 223.  38.  39.  24.],103.0,[ 15 934]
563,[103. 108. 188.  34.  38.  39.],102.0,[ 15 935]
564,[102. 103. 166.  29.  34.  38.],108.0,[ 15 936]
565,[108. 102. 201.  49.  29.  34.],89.0,[ 15 937]
566,[ 89. 108. 208.   6.  49.  29.],79.0,[ 15 938]
567,[ 79.  89. 230.  39.   6.  49.],117.0,[ 15 939]
568,[117.  79. 206.   7.  39.   6.],102.0,[ 15 940]
569,[102. 117. 184.  47.   7.  39.],96.0,[ 15 941]
570,[ 96. 102. 172.  20.  47.   7.],92.0,[ 15 942]
571,[ 92.  96. 178.  29.  20.  47.],115.0,[ 15 943]
572,[115.  92. 196.  24.  29.  20.],88.0,[ 15 944]
573,[ 88. 115. 167.  28.  24.  29.],65.0,[ 15 945]
574,[ 65.  88. 181.  22.  28.  24.],91.0,[ 15 946]
575,[ 91.  65. 191.  40.  22.  28.],97.0,[ 15 947]
576,[ 97.  91. 159.  31.  40.  22.],90.0,[ 15 948]
577,[ 90.  97. 185.  19.  31.  40.],86.0,[ 15 949]
578,[ 86.  90. 208.  34.  19.  31.],101.0,[ 15 950]
579,[101.  86. 209.  14.  34.  19.],107.0,[ 15 951]
580,[107. 101. 218.  52.  14.  34.],103.0,[ 15 952]
581,[100. 103. 191.  45.  15.  52.],86.0,[ 15 956]
582,[ 86. 100. 201.   7.  45.  15.],92.0,[ 15 957]
583,[ 92.  86. 170.  21.   7.  45.],75.0,[ 15 958]
584,[102. 109. 215.  42.  28.  41.],105.0,[ 15 962]
585,[105. 102. 234.  39.  42.  28.],93.0,[ 15 963]
586,[ 93. 105. 264.  24.  39.  42.],111.0,[ 15 964]
587,[111.  93. 261.  15.  24.  39.],126.0,[ 15 965]
588,[126. 111. 236.  52.  15.  24.],129.0,[ 15 966]
589,[129. 126. 232.   8.  52.  15.],120.0,[ 15 967]
590,[2. 6. 1. 1. 2. 1.],3.0,[ 16 927]
591,[3. 2. 4. 4. 1. 2.],1.0,[ 16 928]
592,[3. 1. 3. 1. 1. 1.],3.0,[ 16 964]
593,[176.  68. 340.  70.  22.  60.],139.0,[ 17 923]
594,[139. 176. 291.  12.  70.  22.],154.0,[ 17 924]
595,[154. 139. 192.  66.  12.  70.],149.0,[ 17 925]
596,[149. 154. 235.  52.  66.  12.],142.0,[ 17 926]
597,[142. 149. 232.  16.  52.  66.],130.0,[ 17 927]
598,[130. 142. 214.  59.  16.  52.],133.0,[ 17 928]
599,[133. 130. 235.  13.  59.  16.],136.0,[ 17 929]
600,[136. 133. 268.  49.  13.  59.],147.0,[ 17 930]
601,[147. 136. 273.  54.  49.  13.],134.0,[ 17 931]
602,[134. 147. 261.  21.  54.  49.],146.0,[ 17 932]
603,[146. 134. 283.  50.  21.  54.],125.0,[ 17 933]
604,[125. 146. 237.  51.  50.  21.],119.0,[ 17 934]
605,[119. 125. 203.  39.  51.  50.],109.0,[ 17 935]
606,[109. 119. 249.  34.  39.  51.],135.0,[ 17 936]
607,[135. 109. 224.  49.  34.  39.],105.0,[ 17 937]
608,[105. 135. 186.   7.  49.  34.],89.0,[ 17 938]
609,[ 89. 105. 202.  59.   7.  49.],118.0,[ 17 939]
610,[118.  89. 236.  20.  59.   7.],114.0,[ 17 940]
611,[114. 118. 230.  66.  20.  59.],100.0,[ 17 941]
612,[100. 114. 217.  28.  66.  20.],89.0,[ 17 942]
613,[ 89. 100. 206.  31.  28.  66.],125.0,[ 17 943]
614,[125.  89. 232.  40.  31.  28.],107.0,[ 17 944]
615,[107. 125. 208.  44.  40.  31.],103.0,[ 17 945]
616,[103. 107. 151.  43.  44.  40.],71.0,[ 17 946]
617,[ 71. 103. 195.  42.  43.  44.],103.0,[ 17 947]
618,[103.  71. 222.  54.  42.  43.],93.0,[ 17 948]
619,[ 93. 103. 196.  38.  54.  42.],105.0,[ 17 949]
620,[105.  93. 157.  31.  38.  54.],89.0,[ 17 950]
621,[ 89. 105. 187.  21.  31.  38.],86.0,[ 17 951]
622,[ 86.  89. 195.  59.  21.  31.],90.0,[ 17 952]
623,[ 81.  85. 179.  39.  17.  68.],71.0,[ 17 956]
624,[ 71.  81. 176.   3.  39.  17.],81.0,[ 17 957]
625,[ 81.  71. 165.  41.   3.  39.],75.0,[ 17 958]
626,[ 72.  65. 189.  42.  27.  59.],94.0,[ 17 962]
627,[ 94.  72. 193.  26.  42.  27.],123.0,[ 17 963]
628,[123.  94. 211.  18.  26.  42.],82.0,[ 17 964]
629,[ 82. 123. 224.  14.  18.  26.],102.0,[ 17 965]
630,[102.  82. 254.  43.  14.  18.],104.0,[ 17 966]
631,[104. 102. 277.  17.  43.  14.],105.0,[ 17 967]
632,[ 81.  28. 134.  28.  13.  27.],84.0,[ 18 923]
633,[ 84.  81. 209.  10.  28.  13.],100.0,[ 18 924]
634,[100.  84. 194.  52.  10.  28.],103.0,[ 18 925]
635,[103. 100. 204.  39.  52.  10.],92.0,[ 18 926]
636,[ 92. 103. 184.  15.  39.  52.],85.0,[ 18 927]
637,[ 85.  92. 187.  55.  15.  39.],91.0,[ 18 928]
638,[ 91.  85. 170.  11.  55.  15.],69.0,[ 18 929]
639,[ 69.  91. 155.  33.  11.  55.],78.0,[ 18 930]
640,[ 78.  69. 138.  23.  33.  11.],71.0,[ 18 931]
641,[ 71.  78. 179.  16.  23.  33.],74.0,[ 18 932]
642,[ 74.  71. 141.  22.  16.  23.],77.0,[ 18 933]
643,[ 77.  74. 143.  28.  22.  16.],75.0,[ 18 934]
644,[ 75.  77. 153.  33.  28.  22.],78.0,[ 18 935]
645,[ 78.  75. 141.  14.  33.  28.],64.0,[ 18 936]
646,[ 64.  78. 142.  31.  14.  33.],75.0,[ 18 937]
647,[ 75.  64. 146.   3.  31.  14.],81.0,[ 18 938]
648,[ 81.  75. 156.  29.   3.  31.],87.0,[ 18 939]
649,[ 87.  81. 175.   7.  29.   3.],84.0,[ 18 940]
650,[ 84.  87. 170.  38.   7.  29.],86.0,[ 18 941]
651,[ 86.  84. 152.  14.  38.   7.],89.0,[ 18 942]
652,[ 89.  86. 141.  29.  14.  38.],100.0,[ 18 943]
653,[100.  89. 163.  23.  29.  14.],85.0,[ 18 944]
654,[ 85. 100. 163.  32.  23.  29.],66.0,[ 18 945]
655,[ 66.  85. 148.  29.  32.  23.],95.0,[ 18 946]
656,[ 95.  66. 166.  22.  29.  32.],78.0,[ 18 947]
657,[ 78.  95. 146.  26.  22.  29.],76.0,[ 18 948]
658,[ 76.  78. 171.  35.  26.  22.],76.0,[ 18 949]
659,[ 76.  76. 181.  16.  35.  26.],93.0,[ 18 950]
660,[ 93.  76. 170.  11.  16.  35.],63.0,[ 18 951]
661,[ 63.  93. 137.  38.  11.  16.],79.0,[ 18 952]
662,[ 69.  75. 152.  36.   8.  43.],56.0,[ 18 956]
663,[ 56.  69. 122.   5.  36.   8.],57.0,[ 18 957]
664,[ 57.  56. 138.  28.   5.  36.],54.0,[ 18 958]
665,[ 62.  56. 148.  46.  20.  50.],69.0,[ 18 962]
666,[ 69.  62. 179.  39.  46.  20.],86.0,[ 18 963]
667,[ 86.  69. 197.  19.  39.  46.],82.0,[ 18 964]
668,[ 82.  86. 196.  14.  19.  39.],93.0,[ 18 965]
669,[ 93.  82. 195.  40.  14.  19.],101.0,[ 18 966]
670,[101.  93. 205.   8.  40.  14.],96.0,[ 18 967]
671,[ 59.  27. 118.  30.  11.  15.],66.0,[ 19 923]
672,[ 66.  59. 130.   8.  30.  11.],72.0,[ 19 924]
673,[ 72.  66. 125.  36.   8.  30.],70.0,[ 19 925]
674,[ 70.  72. 138.  24.  36.   8.],78.0,[ 19 926]
675,[ 78.  70. 132.  10.  24.  36.],69.0,[ 19 927]
676,[ 69.  78. 166.  34.  10.  24.],64.0,[ 19 928]
677,[ 64.  69. 148.   7.  34.  10.],94.0,[ 19 929]
678,[ 94.  64. 157.  29.   7.  34.],70.0,[ 19 930]
679,[ 70.  94. 159.  33.  29.   7.],68.0,[ 19 931]
680,[ 68.  70. 177.  14.  33.  29.],73.0,[ 19 932]
681,[ 73.  68. 146.  26.  14.  33.],73.0,[ 19 933]
682,[ 73.  73. 133.  16.  26.  14.],65.0,[ 19 934]
683,[ 65.  73. 135.  27.  16.  26.],56.0,[ 19 935]
684,[ 56.  65. 139.  17.  27.  16.],52.0,[ 19 936]
685,[ 52.  56. 102.  31.  17.  27.],46.0,[ 19 937]
686,[ 46.  52. 120.   7.  31.  17.],62.0,[ 19 938]
687,[ 62.  46. 125.  31.   7.  31.],51.0,[ 19 939]
688,[ 51.  62. 149.   8.  31.   7.],57.0,[ 19 940]
689,[ 57.  51. 117.  31.   8.  31.],50.0,[ 19 941]
690,[ 50.  57. 105.  12.  31.   8.],60.0,[ 19 942]
691,[ 60.  50. 121.  19.  12.  31.],74.0,[ 19 943]
692,[ 74.  60. 128.  19.  19.  12.],67.0,[ 19 944]
693,[ 67.  74. 100.  20.  19.  19.],69.0,[ 19 945]
694,[ 69.  67. 105.  22.  20.  19.],67.0,[ 19 946]
695,[ 67.  69. 142.  33.  22.  20.],51.0,[ 19 947]
696,[ 51.  67. 158.  17.  33.  22.],69.0,[ 19 948]
697,[ 69.  51. 152.  20.  17.  33.],50.0,[ 19 949]
698,[ 50.  69. 138.  14.  20.  17.],65.0,[ 19 950]
699,[ 65.  50. 146.  12.  14.  20.],58.0,[ 19 951]
700,[ 58.  65. 131.  32.  12.  14.],70.0,[ 19 952]
701,[ 61.  53. 124.  39.  10.  43.],58.0,[ 19 956]
702,[ 58.  61. 131.   3.  39.  10.],41.0,[ 19 957]
703,[ 41.  58. 125.  21.   3.  39.],57.0,[ 19 958]
704,[ 69.  75. 168.  48.  31.  50.],70.0,[ 19 962]
705,[ 70.  69. 160.  35.  48.  31.],59.0,[ 19 963]
706,[ 59.  70. 180.  20.  35.  48.],93.0,[ 19 964]
707,[ 93.  59. 212.  21.  20.  35.],103.0,[ 19 965]
708,[103.  93. 243.  70.  21.  20.],107.0,[ 19 966]
709,[107. 103. 233.  13.  70.  21.],116.0,[ 19 967]
710,[106.  48. 211.  46.  13.  40.],110.0,[ 20 923]
711,[110. 106. 181.  14.  46.  13.],98.0,[ 20 924]
712,[ 98. 110. 181.  39.  14.  46.],100.0,[ 20 925]
713,[100.  98. 162.  26.  39.  14.],88.0,[ 20 926]
714,[ 88. 100. 157.  12.  26.  39.],101.0,[ 20 927]
715,[101.  88. 124.  31.  12.  26.],105.0,[ 20 928]
716,[105. 101. 142.   7.  31.  12.],108.0,[ 20 929]
717,[108. 105. 161.  20.   7.  31.],108.0,[ 20 930]
718,[108. 108. 148.  26.  20.   7.],90.0,[ 20 931]
719,[ 90. 108. 178.  12.  26.  20.],100.0,[ 20 932]
720,[100.  90. 179.  37.  12.  26.],79.0,[ 20 933]
721,[ 79. 100. 164.  14.  37.  12.],87.0,[ 20 934]
722,[ 87.  79. 143.  29.  14.  37.],70.0,[ 20 935]
723,[ 70.  87. 129.  15.  29.  14.],78.0,[ 20 936]
724,[ 78.  70. 121.  37.  15.  29.],74.0,[ 20 937]
725,[ 74.  78. 121.   9.  37.  15.],52.0,[ 20 938]
726,[ 52.  74. 136.  23.   9.  37.],67.0,[ 20 939]
727,[ 67.  52. 133.   6.  23.   9.],64.0,[ 20 940]
728,[ 64.  67. 124.  28.   6.  23.],56.0,[ 20 941]
729,[ 56.  64. 129.  12.  28.   6.],56.0,[ 20 942]
730,[ 56.  56. 118.  25.  12.  28.],61.0,[ 20 943]
731,[ 61.  56. 113.  24.  25.  12.],57.0,[ 20 944]
732,[ 57.  61. 112.  23.  24.  25.],61.0,[ 20 945]
733,[ 61.  57. 149.  17.  23.  24.],55.0,[ 20 946]
734,[ 55.  61. 135.  22.  17.  23.],53.0,[ 20 947]
735,[ 53.  55. 138.  25.  22.  17.],43.0,[ 20 948]
736,[ 43.  53. 114.  12.  25.  22.],62.0,[ 20 949]
737,[ 62.  43. 118.  13.  12.  25.],50.0,[ 20 950]
738,[ 50.  62. 123.  10.  13.  12.],66.0,[ 20 951]
739,[ 66.  50. 130.  29.  10.  13.],57.0,[ 20 952]
740,[ 55.  60. 105.  22.  10.  38.],60.0,[ 20 956]
741,[ 60.  55. 108.   6.  22.  10.],61.0,[ 20 957]
742,[61. 60. 79. 24.  6. 22.],50.0,[ 20 958]
743,[ 59.  48. 117.  34.  25.  33.],81.0,[ 20 962]
744,[ 81.  59. 141.  24.  34.  25.],88.0,[ 20 963]
745,[ 88.  81. 131.  15.  24.  34.],72.0,[ 20 964]
746,[ 72.  88. 163.   9.  15.  24.],67.0,[ 20 965]
747,[ 67.  72. 193.  49.   9.  15.],99.0,[ 20 966]
748,[ 99.  67. 204.  11.  49.   9.],76.0,[ 20 967]
749,[148.  67. 319.  84.  25.  58.],162.0,[ 21 923]
750,[162. 148. 380.  22.  84.  25.],199.0,[ 21 924]
751,[199. 162. 385.  97.  22.  84.],181.0,[ 21 925]
752,[181. 199. 369.  73.  97.  22.],182.0,[ 21 926]
753,[182. 181. 368.  32.  73.  97.],197.0,[ 21 927]
754,[197. 182. 385. 102.  32.  73.],209.0,[ 21 928]
755,[209. 197. 366.  19. 102.  32.],184.0,[ 21 929]
756,[184. 209. 343.  36.  19. 102.],178.0,[ 21 930]
757,[178. 184. 333.  70.  36.  19.],183.0,[ 21 931]
758,[183. 178. 314.  39.  70.  36.],164.0,[ 21 932]
759,[164. 183. 236.  38.  39.  70.],138.0,[ 21 933]
760,[138. 164. 279.  38.  38.  39.],138.0,[ 21 934]
761,[138. 138. 250.  48.  38.  38.],113.0,[ 21 935]
762,[113. 138. 242.  35.  48.  38.],153.0,[ 21 936]
763,[153. 113. 230.  57.  35.  48.],139.0,[ 21 937]
764,[139. 153. 235.   9.  57.  35.],138.0,[ 21 938]
765,[138. 139. 235.  56.   9.  57.],132.0,[ 21 939]
766,[132. 138. 268.  20.  56.   9.],140.0,[ 21 940]
767,[140. 132. 273.  58.  20.  56.],148.0,[ 21 941]
768,[148. 140. 244.  31.  58.  20.],147.0,[ 21 942]
769,[147. 148. 240.  44.  31.  58.],137.0,[ 21 943]
770,[137. 147. 260.  45.  44.  31.],124.0,[ 21 944]
771,[124. 137. 259.  46.  45.  44.],154.0,[ 21 945]
772,[154. 124. 297.  27.  46.  45.],150.0,[ 21 946]
773,[150. 154. 319.  38.  27.  46.],157.0,[ 21 947]
774,[157. 150. 286.  35.  38.  27.],130.0,[ 21 948]
775,[130. 157. 252.  39.  35.  38.],123.0,[ 21 949]
776,[123. 130. 280.  46.  39.  35.],140.0,[ 21 950]
777,[140. 123. 273.  31.  46.  39.],144.0,[ 21 951]
778,[144. 140. 292.  58.  31.  46.],140.0,[ 21 952]
779,[133. 121. 233.  67.  20.  59.],134.0,[ 21 956]
780,[134. 133. 222.   5.  67.  20.],135.0,[ 21 957]
781,[135. 134. 194.  39.   5.  67.],98.0,[ 21 958]
782,[125. 104. 274.  48.  29.  70.],154.0,[ 21 962]
783,[154. 125. 296.  37.  48.  29.],157.0,[ 21 963]
784,[157. 154. 320.  42.  37.  48.],146.0,[ 21 964]
785,[146. 157. 298.  17.  42.  37.],170.0,[ 21 965]
786,[170. 146. 330.  48.  17.  42.],187.0,[ 21 966]
787,[187. 170. 348.  11.  48.  17.],170.0,[ 21 967]
788,[29. 12. 60. 17.  8. 12.],33.0,[ 22 923]
789,[33. 29. 70.  9. 17.  8.],37.0,[ 22 924]
790,[37. 33. 53. 18.  9. 17.],37.0,[ 22 925]
791,[37. 37. 62. 15. 18.  9.],40.0,[ 22 926]
792,[40. 37. 49.  1. 15. 18.],22.0,[ 22 927]
793,[22. 40. 34. 10.  1. 15.],25.0,[ 22 928]
794,[25. 22. 47.  1. 10.  1.],31.0,[ 22 929]
795,[31. 25. 30.  4.  1. 10.],17.0,[ 22 930]
796,[17. 31. 13.  7.  4.  1.],11.0,[ 22 931]
797,[11. 17. 18.  1.  7.  4.],13.0,[ 22 932]
798,[13. 11. 23.  7.  1.  7.],10.0,[ 22 933]
799,[10. 13. 30.  3.  7.  1.],14.0,[ 22 934]
800,[14. 10. 16.  2.  3.  7.],18.0,[ 22 935]
801,[18. 14. 27.  4.  2.  3.],19.0,[ 22 936]
802,[19. 18. 19.  4.  4.  2.],7.0,[ 22 937]
803,[ 7. 19. 25.  1.  4.  4.],11.0,[ 22 938]
804,[11.  7. 24.  7.  1.  4.],11.0,[ 22 939]
805,[ 7. 13. 19.  2.  2.  2.],20.0,[ 22 943]
806,[20.  7. 19.  1.  2.  2.],16.0,[ 22 944]
807,[16. 20. 20.  5.  1.  2.],23.0,[ 22 945]
808,[23. 16. 21.  2.  5.  1.],19.0,[ 22 946]
809,[19. 23. 21.  1.  2.  5.],15.0,[ 22 947]
810,[15. 19. 26.  2.  1.  2.],16.0,[ 22 948]
811,[16. 15. 16.  3.  2.  1.],19.0,[ 22 949]
812,[19. 16. 23.  3.  3.  2.],17.0,[ 22 950]
813,[17. 19. 22.  2.  3.  3.],12.0,[ 22 951]
814,[ 9. 11. 21.  3.  1.  8.],8.0,[ 22 956]
815,[ 6. 12. 18.  7.  4.  9.],6.0,[ 22 962]
816,[ 6.  6. 28.  6.  7.  4.],11.0,[ 22 963]
817,[11.  6. 16.  4.  6.  7.],9.0,[ 22 964]
818,[ 9. 11. 16.  5.  4.  6.],10.0,[ 22 965]
819,[10.  9. 19.  4.  5.  4.],9.0,[ 22 966]
820,[ 9. 10. 30.  3.  4.  5.],16.0,[ 22 967]
821,[126.  38. 338.  71.  25.  46.],181.0,[ 23 923]
822,[181. 126. 356.  15.  71.  25.],193.0,[ 23 924]
823,[193. 181. 376.  87.  15.  71.],182.0,[ 23 925]
824,[182. 193. 351.  70.  87.  15.],130.0,[ 23 926]
825,[130. 182. 336.  22.  70.  87.],137.0,[ 23 927]
826,[137. 130. 358.  74.  22.  70.],151.0,[ 23 928]
827,[151. 137. 288.  17.  74.  22.],141.0,[ 23 929]
828,[141. 151. 288.  40.  17.  74.],138.0,[ 23 930]
829,[138. 141. 295.  61.  40.  17.],119.0,[ 23 931]
830,[119. 138. 309.  31.  61.  40.],142.0,[ 23 932]
831,[142. 119. 258.  38.  31.  61.],128.0,[ 23 933]
832,[128. 142. 260.  44.  38.  31.],112.0,[ 23 934]
833,[112. 128. 247.  28.  44.  38.],122.0,[ 23 935]
834,[122. 112. 272.  31.  28.  44.],132.0,[ 23 936]
835,[132. 122. 272.  55.  31.  28.],106.0,[ 23 937]
